Dimension,dimension_guid,categorisation_code,has_parent,has_all,has_unknown,Ethnicity categorisation,Subtopic,Measure
Custody rate by ethnicity over time,eb81ba90975fa91b3b6892e3c77eb86e9272af48,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Sentences and custody
Custody rate by ethnicity and age group,c82a446b28a805b66bcea9a64ba8a9ca0a6be6c9,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Sentences and custody
Custody rate by ethnicity and gender,c0338de1ed148d2e666179fd170826dd0c8e16bd,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Sentences and custody
Type of sentence by ethnicity of offender,2ebae66127f0305de54932be96b5875589333a81,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Sentences and custody
Custodial sentences given by ethnicity of offender and type of offence,03e8f5efab3838f84191849d7b96d922a3edf7cf,5A,No,No,Yes,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Sentences and custody
Average custodial sentence length by ethnicity of offender over time,d60bdb5e3560bd7411782fc7bde9df011d0966ec,5A,N/A,No,No,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Average length of custodial sentences
Average custodial sentence length by ethnicity and age group of offender,31f2bf4053433fd3fd3d4154e6440eb815d9fe04,5A,N/A,No,No,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Average length of custodial sentences
Average custodial sentence length by ethnicity and sex of offender,be934e415cd05f270c92d1324e1ccb561d79f9fe,5A,N/A,No,No,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Average length of custodial sentences
Average custodial sentence length by ethnicity of offender and type of offence,961e9cf7e995562359afe422eba46bf6b4873d3e,5A,N/A,No,No,"Asian, Black, White, Mixed, Chinese inc Other","Courts, sentencing and tribunals",Average length of custodial sentences
Young people in custody by ethnicity over time,13fbb985a3077d481f4a0f97910553b1257015ab,4B,N/A,No,Yes,"Asian and Other, Black, Mixed, White","Courts, sentencing and tribunals",Young people in custody
Type of custodial order by ethnicity of young person in custody,d3e64f63e959d84b6b3f81a06c94d341db16b6e4,2A,N/A,No,Yes,"White, Other","Courts, sentencing and tribunals",Young people in custody
Young people in custody by ethnicity and type of custodial order over time,48dbfb76aefb340cdb3461d6bc4649357d55f497,2A,N/A,No,No,"White, Other","Courts, sentencing and tribunals",Young people in custody
Young people in custody by ethnicity and offence group,8ce32f8e4dc9ff5b3d2e0e791ec465052988c6d7,2A,N/A,No,No,"White, Other","Courts, sentencing and tribunals",Young people in custody
Violence involving prisoners by ethnicity,6efa67e228ca677d83e3d89ba7047253c619db8e,5A,N/A,No,No,"Asian, Black, White, Mixed, Chinese inc Other",Prison and custody incidents,Violence involving prisoners
Assaults involving prisoners by ethnicity and time,938918959c92f5be83d7d784e1d13c0968a2fca2,5A,N/A,No,No,"Asian, Black, White, Mixed, Chinese inc Other",Prison and custody incidents,Violence involving prisoners
"Self-inflicted deaths per 1,000 prisoners by ethnicity",9416c9532a8649dc2a4dd7a6ab036b7dc6f41f8a,5A,N/A,No,No,"Asian, Black, White, Mixed, Chinese inc Other",Prison and custody incidents,Self-inflicted deaths in prison custody
"Self-harm incidents per 1,000 prisoners by ethnicity",54e5a82a68f6902b694982f764e0885dd309c312,5A,N/A,No,No,"Asian, Black, White, Mixed, Chinese inc Other",Prison and custody incidents,Self-harm in prison custody
Incidents of self-harm by young people in custody by ethnicity,7e89ec470fcec647af24519cc55705c9fa9e9033,2A,N/A,No,No,"White, Other",Prison and custody incidents,Self-harm by young people in custody
Incidents of self-harm by young people in custody by ethnicity and year,95d33700d6234ce68e14aad073ad53969d7853cb,2A,N/A,No,No,"White, Other",Prison and custody incidents,Self-harm by young people in custody
Use of force by ethnicity,472f8b25b2920731546e378a1cab315372d8c156,2A,N/A,No,No,"White, Other",Prison and custody incidents,Use of force on young offenders in custody
Single separation incidents for young people in custody by ethnicity,6f7803130f2f6cf7aaf1e6a31f2e2b5f7c6d82b5,2A,N/A,No,No,"White, Other",Prison and custody incidents,Single separation incidents for young people in custody
Restrictive physical interventions involving young people in custody by ethnicity,5261b8a0560524e410fb572397d1d6084ef0f6f7,2A,N/A,No,No,"White, Other",Prison and custody incidents,Restrictive physical interventions involving young people in custody
Assaults carried out by young people in custody by ethnicity,0669bae26546048fb17e6903d83286a231d2354e,2A,N/A,No,No,"White, Other",Prison and custody incidents,Assaults carried out by young people in custody
"People feeling strongly they belong to Britain, by ethnicity",1133e5b8db19bd76f0c4e810b47fbf930b0f3560,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Community,Feeling of belonging to Britain
People feeling strongly they belong to their neighbourhood by ethnicity,4b0642ed35267d6f711654e087a9d16d2768dcf7,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Community,Feeling of belonging to a neighbourhood
Feeling of community integration by ethnicity,5150eaeedbc355213c5239eca62daba4eff1a404,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Community,Feeling of community integration
People who chat regularly to their neighbours by ethnicity,c259d309bba1d1cd040a2a33bfb41be86b754357,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Community,Chatting regularly with neighbours
English language skills by ethnicity,322f0effd94132a6ad40d01b225885ee69c3473f,18A,No,Yes,No,2011 census: 18 categories,Community,English language skills
English language skills by ethnicity and sex,48863ca03cdc3d9c08c34d168ddf0f2115cbb46c,18A,No,Yes,No,2011 census: 18 categories,Community,English language skills
English language skills by ethnicity and region,e11fca98df90428a7592de3bf0da376260399df6,18A,No,No,No,2011 census: 18 categories,Community,English language skills
"English language skills by ethnicity, sex and age",d9e68d00584a7498cf6874650e5cadd4f41713fc,18A,No,No,No,2011 census: 18 categories,Community,English language skills
Languages spoken other than English,9ef1ebddd30c2ae6a8e584ab48cb791ca5f3124e,NA,N/A,No,No,Not applicable,Community,English language skills
"People living in the most deprived 10% of neighbourhoods, by ethnicity",0db81cdb3adfb737e7f3a39075223595946f3a78,18A,Yes,Yes,No,2011 census: 18 categories,Community,People living in deprived neighbourhoods
"People living in the most income-deprived 10% of neighbourhoods, by ethnicity",5b2212935e6599928b4ec5c4ce98e067c18ffbac,18A,Yes,Yes,No,2011 census: 18 categories,Community,People living in deprived neighbourhoods
"People living in the most employment-deprived 10% of neighbourhoods, by ethnicity",98c16bd1f47b532ebf59585c912ee8e2b071797c,18A,Yes,Yes,No,2011 census: 18 categories,Community,People living in deprived neighbourhoods
"People living in the most deprived 10% of neighbourhoods, by type of deprivation and ethnicity",6aab1230bda14e36039c4f4e2dbea682d2ae3fbf,18A,Yes,No,No,2011 census: 18 categories,Community,People living in deprived neighbourhoods
Internet use by ethnicity,ebf815981e09dc5cf9a63eb3bf0b8fbcce8ddee5,4A,N/A,Yes,No,"Asian, Black, White, Other",Digital,Internet use
Internet use by ethnicity and area,8e533771b5aebacc89276f4597da25d30acf7064,4A,N/A,Yes,No,"Asian, Black, White, Other",Digital,Internet use
Internet use by ethnicity and age group,d4b6476e44c1427fa425df79f41b43dc9bead45b,4A,N/A,Yes,No,"Asian, Black, White, Other",Digital,Internet use
"Participation in the arts in the past year, by ethnicity",a29145bf21710f22cf5ff89552ff2a19e7feaff0,4A,N/A,Yes,No,"Asian, Black, White, Other",Culture and heritage,Adults taking part in the arts
"Participation in the arts in the past year, by ethnicity over time (3 specific years)",b6d1926283d3ab78f8a0294e329fdc6dd448a612,4A,N/A,Yes,No,"Asian, Black, White, Other",Culture and heritage,Adults taking part in the arts
"Participation in the arts in the past year, by ethnicity over time",5193061d9d949d8ac01ad29a2f8524dd5b0e68b0,2A,N/A,Yes,No,"White, Other",Culture and heritage,Adults taking part in the arts
"People visiting a museum or gallery in the past year, by ethnicity",3f365a523b388d555deb53986f6e5300f0aa446f,4A,N/A,Yes,No,"Asian, Black, White, Other",Culture and heritage,Adults visiting museums and galleries
"People visiting a museum or gallery in the past year, by ethnicity over time (3 specific years)",372f231d3c1b4e2c0eefa9bdecebc2e99f6ff7ce,4A,N/A,Yes,No,"Asian, Black, White, Other",Culture and heritage,Adults visiting museums and galleries
"People visiting a museum or gallery in the past year, by ethnicity over time",cb6c01304dec4c8746632369bd7852298f696a1a,2A,N/A,Yes,No,"White, Other",Culture and heritage,Adults visiting museums and galleries
"People using a public library in the past year, by ethnicity",93672cb638300351d4ffe6e3380de5661ca82ae6,4A,N/A,Yes,No,"Asian, Black, White, Other",Culture and heritage,Adults using public libraries
"People using a public library in the past year, by ethnicity over time (3 specific years)",64f420eb3359983cdd5932ac4982204dece3079c,4A,N/A,Yes,No,"Asian, Black, White, Other",Culture and heritage,Adults using public libraries
"People using a public library in the past year, by ethnicity over time",82dc7cdd46cd6a5598c1ad06f33ed48a660a285e,2A,N/A,Yes,No,"White, Other",Culture and heritage,Adults using public libraries
"People visiting a heritage site in the past year, by ethnicity",664f94f6352cffd9c50f3a3783b093ced326d0b7,4A,N/A,Yes,No,"Asian, Black, White, Other",Culture and heritage,Adults visiting heritage sites
"People visiting a heritage site in the past year, by ethnicity over time (3 specific years)",c7be4e0450138a92ba13c798a3f7c90f4b04935b,4A,N/A,Yes,No,"Asian, Black, White, Other",Culture and heritage,Adults visiting heritage sites
"People visiting a heritage site in the past year, by ethnicity over time",75b72f520324bd1f1028b963021f0054ee74c436,2A,N/A,Yes,No,"White, Other",Culture and heritage,Adults visiting heritage sites
Visits to the natural environment in the previous 7 days by ethnicity,f9893ab1777cfcd691d6090ec908bf60abadeb47,6A,N/A,Yes,Yes,"Asian, Black, Chinese, Mixed, White, Other",Culture and heritage,Visits to the natural environment
Visits to the natural environment in the previous 7 days by ethnicity and socio-economic group,b5e24f0bcac3f4ed82c019235798f835b9b209b2,2A,N/A,No,No,"White, Other",Culture and heritage,Visits to the natural environment
Visits to the natural environment in the previous 7 days by ethnicity and type of location,a3e7ba5e0ab26d05950671f3bec7278908b1a074,2A,N/A,No,No,"White, Other",Culture and heritage,Visits to the natural environment
Visits to the natural environment in the previous 12 months by ethnicity,d26913a6ee3d2c3f5885baff401e9f0ea0198104,2A,N/A,Yes,No,"White, Other",Culture and heritage,Visits to the natural environment
"People who felt they could influence local decisions, by ethnicity",0ae0f43054f352a46f6a235c9d61b49085e82fa4,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Civic participation,Influencing local decisions
"People getting involved in local decisions, by ethnicity",1aa0f75396d76d802dbf5551f0bf027e07f92c7b,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Civic participation,Taking part in local decision making
Regular formal volunteering by ethnicity,7e060220261fc3e5163455980be919820cc0e553,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Civic participation,Volunteering
Driving licence holders by ethnicity,e127080125f1ae8e34eeca291a8ddaa80daf9b14,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,Driving licences
Car and van ownership by ethnicity,b606adb798721adfea272a693b6c683a29dfed3a,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,Car or van ownership
Distance travelled to school by ethnicity,b459fe6e5b259d9cdb22cb4ebbd4d61fc0f1fd0a,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,Travel to school
Trip duration by ethnicity over time,b871a1967df0a3bb1e3678f66845cc2d4c462a0d,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,Travel to school
Type of transport,26e0aed2b96068d81390141e21d9f37b337e2e70,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,Travel to school
Distance travelled by ethnicity,52cf78be50717217d2d9970e24c29cc12be09bed,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,"Travel by distance, trips, type of transport and purpose"
Distance travelled by ethnicity and mode of transport,c87a29389b2956cb83a79f7f300a807fcac1d5d8,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,"Travel by distance, trips, type of transport and purpose"
Distance travelled by ethnicity and purpose of journey,53a77ac315e7d92c55fc858486ea6b8175a2ccef,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,"Travel by distance, trips, type of transport and purpose"
Number of trips by ethnicity,00c7a4a582a2a5136aa065185dedcec888c09cde,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,"Travel by distance, trips, type of transport and purpose"
Trips made by ethnicity and mode of transport,b9f6053eba8b9e5b2736d9f160cf07edb1a2e8e5,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,"Travel by distance, trips, type of transport and purpose"
Trips made by ethnicity and purpose of journey,856f60c4117df55cd999ef2b04364800c75245b7,5B,N/A,Yes,No,"Asian, Black, White, Mixed, Other",Transport,"Travel by distance, trips, type of transport and purpose"
"Attainment of development goals, by ethnicity",e4ff9d14ea4b0233ab43c1e53a01e5fbfb1e9fb7,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Early years,Attainment of development goals by children aged 4 to 5 years
"Attainment of development goals, by ethnicity and eligibility for free school meals (FSM)",c515c56108dc0a0e0a4d45aaee683c785fbdf16f,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Early years,Attainment of development goals by children aged 4 to 5 years
"Attainment of development goals by ethnicity, area and local authority",8fcaa31bba89c5df810fac2d2551f4525e6646ce,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",Early years,Attainment of development goals by children aged 4 to 5 years
"Attainment of development goals, by ethnicity and sex",c9e37888972175ac88222590d397e266196f8afd,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Early years,Attainment of development goals by children aged 4 to 5 years
"Attainment of development goals by ethnicity, sex and eligibility for free school meals (FSM)",f0e9536703cec91912231ff12741ad5c16e5b3b9,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Early years,Attainment of development goals by children aged 4 to 5 years
"Attainment of development goals, by ethnicity, sex and local authority",95bccc84ed61d26118cd57895b8548a29b7b412c,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",Early years,Attainment of development goals by children aged 4 to 5 years
Phonics attainment for children aged 5 to 7 by ethnicity,2a049133bd1d98a6eb27f1a81bf6947dd12b5cc6,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Phonics attainments for children aged 5 to 7 (key stage 1)
Phonics attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM),47d71691a1ac897d74303229eb6aa40c722a80c3,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Phonics attainments for children aged 5 to 7 (key stage 1)
Phonics attainment for children aged 5 to 7 by ethnicity and area,2fb52d9ad7eb29b0abeb56236e6090a4fbd3ab9f,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Phonics attainments for children aged 5 to 7 (key stage 1)
Phonics attainment for children aged 5 to 7 by ethnicity and gender,27330731dd586504cd2e6b67cb3023739237c774,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Phonics attainments for children aged 5 to 7 (key stage 1)
"Phonics attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)",12d005840e47017a1c83dc73c3bda033350e877b,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Phonics attainments for children aged 5 to 7 (key stage 1)
"Phonics attainment for children aged 5 to 7 by ethnicity, gender and area",f1312d58bd70f170785ce0152c9579a8e3e441ee,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Phonics attainments for children aged 5 to 7 (key stage 1)
Reading attainment for children aged 5 to 7 by ethnicity,78651e336db031ec7b9daace9aaea694b81bc42e,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Reading attainments for children aged 5 to 7 (key stage 1)
Reading attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM),8f836a2605f4760f36bd1d1fe75949ef672835f1,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Reading attainments for children aged 5 to 7 (key stage 1)
Reading attainment for children aged 5 to 7 by ethnicity and area,47e9103f3c62f49c187b4a207b39a0a77153e7e3,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Reading attainments for children aged 5 to 7 (key stage 1)
Reading attainment for children aged 5 to 7 by ethnicity and gender,6827a2b359f066db8af17b488619c92bf10d33e3,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Reading attainments for children aged 5 to 7 (key stage 1)
"Reading attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)",cc0baf5aa874d8bb2d5a03ee907e86e7281d5ea0,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Reading attainments for children aged 5 to 7 (key stage 1)
"Reading attainment for children aged 5 to 7 by ethnicity, gender and area",9b6b287875db491fad3d45689cc5dc44718a7e55,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Reading attainments for children aged 5 to 7 (key stage 1)
Writing attainment for children aged 5 to 7 by ethnicity,c3eb7b7dda0bcfa3fc04d6552edb8ef715d3e4af,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Writing attainments for children aged 5 to 7 (key stage 1)
Writing attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM),684a7536c02f82c6a32f4cc86f2b0ab91af91b86,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Writing attainments for children aged 5 to 7 (key stage 1)
Writing attainment for children aged 5 to 7 by ethnicity and area,e1cda64250cfd01ee9381ad9abad07a5d75f1259,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Writing attainments for children aged 5 to 7 (key stage 1)
Writing attainment for children aged 5 to 7 by ethnicity and gender,93f2c6724731c7d626313b30aeafbb28f0a315f8,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Writing attainments for children aged 5 to 7 (key stage 1)
"Writing attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)",259bab988ab836abe0134259f1c5cc5307165007,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Writing attainments for children aged 5 to 7 (key stage 1)
"Writing attainment for children aged 5 to 7 by ethnicity, gender and area",6b2a9a6daf382b8df68b2fe08a658e315d11eace,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Writing attainments for children aged 5 to 7 (key stage 1)
Mathematics attainment for children aged 5 to 7 by ethnicity,81452d45ae3cf94624ae4a3bdad4e20ca976df88,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Mathematics attainments for children aged 5 to 7 (key stage 1)
Mathematics attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM),2542d13e57f9d2b5075501d3d49274c30cd91629,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Mathematics attainments for children aged 5 to 7 (key stage 1)
Mathematics attainment for children aged 5 to 7 by ethnicity and area,8a084b278df52969a641737713977c14ec2537ff,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Mathematics attainments for children aged 5 to 7 (key stage 1)
Mathematics attainment for children aged 5 to 7 by ethnicity and gender,8da758a90af5ad730265f59b61a46c25cb0bbc16,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Mathematics attainments for children aged 5 to 7 (key stage 1)
"Mathematics attainment for children aged 5 to 7 by ethnicity, gender, and eligibility for free school meals (FSM)",230c6aafe83d661215c00c38e228025be1e15d00,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Mathematics attainments for children aged 5 to 7 (key stage 1)
"Mathematics attainment for children aged 5 to 7 by ethnicity, area and gender",7cab702b3b286e8a716798c9635ac36221544346,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Mathematics attainments for children aged 5 to 7 (key stage 1)
Science attainment for children aged 5 to 7 by ethnicity,3d71f65d80c7da4ddec639187447d0487d42d9b0,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Science attainments for children aged 5 to 7 (key stage 1)
Science attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM),314e7c84b672cabab8b56da43ba7217117835e53,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Science attainments for children aged 5 to 7 (key stage 1)
Science attainment for children aged 5 to 7 by ethnicity and area,b9fff8d09318ed012e8e43da8657a995ccfe0357,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Science attainments for children aged 5 to 7 (key stage 1)
Science attainment for children aged 5 to 7 by ethnicity and gender,e2d20d92b7879e7faa757d046f37cd106ce62e05,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Science attainments for children aged 5 to 7 (key stage 1)
