Dimension,dimension_guid,categorisation_code,has_parent,has_all,has_unknown,Ethnicity categorisation,Subtopic,Measure
Median pay by ethnicity and region,1b99c8bfc44643cb5767553742722275854cfc8d,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Households living in non-decent homes by ethnicity,90b302f5ad988eb6d222fc2e58cf807d464d8d48,18A,No,No,No,2011 census: 18 categories,Housing conditions,Non-decent homes
Households living in non-decent homes by ethnicity,22f352ad56fdb80cc90f49745d80cdee9d63f6fe,18A,No,No,No,2011 census: 18 categories,Housing conditions,Non-decent homes
Households living in non-decent homes by ethnicity,1f118186f49c771f5a1c23632b4e9548ce4bd64c,18A,No,No,No,2011 census: 18 categories,Housing conditions,Non-decent homes
Households with damp problems by ethnicity,fcf6ec11292d844adbd8d3ebe73710759f1930b7,18A,No,No,No,2011 census: 18 categories,Housing conditions,Housing with damp problems
Households with damp problems by ethnicity,39f00965e654365d6cbae4d9abcc18cc3f898448,18A,No,No,No,2011 census: 18 categories,Housing conditions,Housing with damp problems
Households with damp problems by ethnicity,3105a684eedac40fc9b15b179bed0c1bc57fb973,18A,No,No,No,2011 census: 18 categories,Housing conditions,Housing with damp problems
Time spent living in current home by ethnicity,17b1da6e93fa1a318be8d9611a360fe5993cef85,18A,No,No,No,2011 census: 18 categories,Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity,da46a62020ab535b6d5085b47852d8a3e15653d4,18A,No,No,No,2011 census: 18 categories,Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity,e407e312175312bff2e9131e20a7a41846a397e2,18A,No,No,No,2011 census: 18 categories,Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and area,fc5888a6ca0743f2a06d7682aea563fae76f415b,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and income,4ec9c4f635a40d6ca2fe370183e797cdc2f6cf39,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and income,916ccac8796a6b3e1b5916f1efc23d27cefacf2a,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and income,0a422d747777b212d7c7c9dcdba5f36919738a8d,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and socio-economic group,e9aea9bdafab680737de149be5750e515932fcb6,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and socio-economic group,887da875ab1c0dc6020a3b007d5c342e6365963a,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and socio-economic group,c13ca3cb17e39c7ef6a305a48d3929874ce6971d,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and type of occupancy,3e77a57a33353b432a3ade0d22382ebb58902cf1,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and type of tenure,1bfa878910afd48223dff24544f969b97b4f69f7,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity and type of tenure,78b51c1f76c656a48021be70bb773e969c2b369b,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity by area,8c2fa1cc180f5e64779c09c2cef93b5799aad129,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Time spent living in current home by ethnicity by area,fcb33a93d789a3add37939ba0e156ef8225afd98,2B,No,No,No,"White British, Other",Owning and renting,Time spent living in current home
Overcrowded households by ethnicity,e714ba4df785f87f289d86c74583d4e82c210184,18A,No,No,No,2011 census: 18 categories,Housing conditions,Overcrowded households
Overcrowded households by ethnicity,77a3dbab83f1b3aeaf53a95cedd5830e0830b4a3,18A,No,No,No,2011 census: 18 categories,Housing conditions,Overcrowded households
Overcrowded households by ethnicity,14a7b5f638582c3985d13f309ba963663bd67c6b,18A,No,No,No,2011 census: 18 categories,Housing conditions,Overcrowded households
Overcrowded households by ethnicity and age,a4d79601155d426389bde74fe82a03e486a305d6,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and age,508f8791a66d413362374e1736d12ed1335229af,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and age group,3058919377082ce08562aa4103c9bdf4ff8740f8,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and area,78646d8525f57ff769c610ae7b17d32305bed430,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and area,1bfaec69dc2d3bc9f810c3aa8535ff23692bd008,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and area,69be072a0f77c017e3461e7f83558c91249a6c9d,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and housing tenure,77de3a13f4085adb77aa3127dd7310ae9dd0ea25,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and housing tenure,ffb4dade7a6987041d39374386db095fe313f14e,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and income,0689de35203db603465b4d9f61e9d63eb155f426,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and income,d4035fa35b76477f469736fce72b47009d5f23bf,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and income,35994e45ecf004315a0f96f9060fdaade20b2dc1,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and socio-economic group,5085ff577e0a48e202dbbecbbc5174a2880f55ef,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and socio-economic group,22c40a51775846c88add8df6268d2832b610a479,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and socio-economic group,750da3a9d6838af12897de32537b9feae60b9091,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Overcrowded households by ethnicity and type of occupancy,0032e490845ccc02f1323491497cdf247377a1cb,2B,No,No,No,"White British, Other",Housing conditions,Overcrowded households
Households under-occupying their home by ethnicity,b54c7a9ab76ac06f7f0b8a99042d540787519028,18A,No,No,No,2011 census: 18 categories,Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity,87b7697b22d3c99555e57ecaaf91367a33481f1b,18A,No,No,No,2011 census: 18 categories,Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity,1a4481bdd16adc53bb92bce7a3b62f0bc1d05e84,18A,No,No,No,2011 census: 18 categories,Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and age,b2a411d2d27682652f8a6c57fc4e7ea33057bc47,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and age,54396d744b814c36efc8924e7602abfca5a68f3d,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and age group,5d033a4e5f183f5cf8f14b925a71210457b4b209,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and area,92c81ecd6a291398224914fd069b837734eb52d9,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and area,706faa2ca4b60676924ec1e10881a076de981a11,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and area,696f360ffd38035d771167db5fab79550cfbbcc2,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and income,5a016912c2472e5b0bd322e3251fe21e94adbabc,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and income,21b3040d998ca7fe82f0c4257877573e2b12adef,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and income,343b27aa9f79d76476ebe3a8b7f46a91f531649b,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and socio-economic group,81c26afea19cdae88661a119a08ea91fdb92caab,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and socio-economic group,b14a8623b222d8e09a438dec668f97c12d951d95,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and socio-economic group,f018b22e4973e41e1ac79d2e6b9e95b8e1eae93a,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and type of housing tenure,f40e535f57f84cb28a9071d61dc9d2d2348d26a3,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and type of housing tenure,79bd4d2dde500949829e399f9e7677098bedd70d,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Households under-occupying their home by ethnicity and type of occupancy (renting or ownership),ccdeb32a83729baf1f283e4e79a5d146d80444f3,2B,No,No,No,"White British, Other",Housing conditions,Households under-occupying their home
Financial help from family members to buy a home,0ef938857a358d1f4709dfac60a73868c4ad0599,18A,No,No,No,2011 census: 18 categories,Owning and renting,Financial help from family to buy a home
Financial help from family members to buy a home,a0798ccf4dc412cdd1e679ac4bd90392a457e81c,18A,No,No,No,2011 census: 18 categories,Owning and renting,Financial help from family to buy a home
Households getting financial help from family to buy their home by ethnicity,971c4acacc67d44639fbe68e421b878276bfb842,18A,No,No,No,2011 census: 18 categories,Owning and renting,Financial help from family to buy a home
Average age of first-time buyers by ethnicity,df68976d0dfcbc79e1a4566d88f3ecfed65c7dd4,18A,No,No,No,2011 census: 18 categories,Owning and renting,Age of first-time buyers
Average age of first-time buyers by ethnicity,29f61f3278b1ccb5adf42ee1569ce8c56270da25,18A,No,No,No,2011 census: 18 categories,Owning and renting,Age of first-time buyers
Average age of first-time buyers by ethnicity,7737ea3e263072eb1bb6175946ebdf63de62c45c,18A,No,No,No,2011 census: 18 categories,Owning and renting,Age of first-time buyers
Deposits paid by first-time buyers by ethnicity,725c8de91dc5b8949751c4849a8954d333d1fc2c,2B,No,No,No,"White British, Other",Owning and renting,Deposits paid by first-time buyers
Deposits paid by first-time buyers by ethnicity,529e057868010011aa74d70cd9de85490b983db3,2B,No,No,No,"White British, Other",Owning and renting,Deposits paid by first-time buyers
Deposits paid by first-time buyers by ethnicity,6204677966e5eaea3215f620f64cb2ec46ca1961,2B,No,No,No,"White British, Other",Owning and renting,Deposits paid by first-time buyers
Deposits paid by first-time buyers by ethnicity and socio-economic group,84b318f08a76bd2ef54d118f7f08ebe8499d5c4f,2B,No,No,No,"White British, Other",Owning and renting,Deposits paid by first-time buyers
Deposits paid by first-time buyers by ethnicity and socio-economic group,4b6b5f859122eab5abc4ca711d85802c47653166,2B,No,No,No,"White British, Other",Owning and renting,Deposits paid by first-time buyers
Deposits paid by first-time buyers by ethnicity and socio-economic group,54d43e870bc73cacabf8f4c7510c471053fd4e07,2B,No,No,No,"White British, Other",Owning and renting,Deposits paid by first-time buyers
Spending on mortgages by ethnicity,07e1750cc7d6e53a80094548b4ad5a7571617d95,18A,No,No,No,2011 census: 18 categories,Owning and renting,Spending on rent and mortgages
Spending on mortgages by ethnicity,af062100704628905b42d4ba681bf43610e340f2,18A,No,No,No,2011 census: 18 categories,Owning and renting,Spending on rent and mortgages
Spending on mortgages by ethnicity,d613e6e2b7b26e55d03ed7425a37a776a073144c,18A,No,No,No,2011 census: 18 categories,Owning and renting,Spending on rent and mortgages
Spending on rent by ethnicity,4508c5603c75ce586086cc49bf37243b3a25f599,18A,No,No,No,2011 census: 18 categories,Owning and renting,Spending on rent and mortgages
